Account,Flag,Cleared,Check Number,Date,Payee,Category,Master Category,Sub Category,Memo,Outflow,Inflow,Running Balance
"Avidia Checking",,U,,11/18/2013,"gulf oil","Transportation : Gas","Transportation","Gas","",$39.75,$0.00,$2026.03
"Avidia Checking",,U,,11/18/2013,"nstar","Housing : Gas","Hidden Categories","Housing ` Gas","",$68.45,$0.00,$1957.58
"Avidia Checking",,U,,11/18/2013,"hanaford","Food : Groceries","Food","Groceries","",$78.13,$0.00,$1879.45
"Avidia Checking",,U,,11/20/2013,"Brookline Mass","Transportation : Parking","Transportation","Parking","",$3.00,$0.00,$1876.45
"Avidia Checking",,U,,11/20/2013,"hannaford","Food : Groceries","Food","Groceries","",$20.78,$0.00,$1855.67
"Avidia Checking",,U,,11/21/2013,"softright","Income : Available this month","Income","Available this month","",$0.00,$3600.00,$5455.67
"Avidia Checking",,U,,11/21/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$338.04,$5793.71
"Avidia Checking",,U,,11/27/2013,"MHC Western","Education : College","Education","College","4110",$30.00,$0.00,$5763.71
"Avidia Checking",,U,,11/27/2013,"MHC Western","Education : College","Education","College","4109",$35.00,$0.00,$5728.71
"Avidia Checking",,U,,12/02/2013,"Save the children","Charity : Other","Charity","Other","",$28.00,$0.00,$5700.71
"Avidia Checking",,U,,12/03/2013,"Transfer : Discover",,,,"",$1384.99,$0.00,$4315.72
"Avidia Checking",,U,,12/04/2013,"verizon wireless","Housing : Cell Phones","Hidden Categories","Housing ` Cell Phones","",$96.65,$0.00,$4219.07
"Avidia Checking",,U,,12/05/2013,"Pumpkin Brook","Income : Available this month","Income","Available this month","",$0.00,$165.50,$4384.57
"Avidia Checking",,U,,12/05/2013,"Tallpc paypal","Personal : Miscellaneous","Personal","Miscellaneous","",$4.49,$0.00,$4380.08
"Avidia Checking",,U,,12/05/2013,"Sarafine","Personal : Gifts","Personal","Gifts","",$50.00,$0.00,$4330.08
"Avidia Checking",,U,,12/06/2013,"SMG","Personal : Doctor, Dentist","Personal","Doctor, Dentist","",$5.00,$0.00,$4325.08
"Avidia Checking",,U,,12/06/2013,"NGRID","Housing : Electricity","Hidden Categories","Housing ` Electricity","",$83.93,$0.00,$4241.15
"Avidia Checking",,U,,12/06/2013,"verizon fios","Housing : Phone & Internet","Hidden Categories","Housing ` Phone & Internet","",$94.03,$0.00,$4147.12
"Avidia Checking",,U,,12/08/2013,"interest","Income : Available this month","Income","Available this month","",$0.00,$0.14,$4147.26
